20220513 09:22:56 INFO  [main] ims.IMS IMS.java38 - Welcome to the Inventory Management System!
20220513 09:23:04 INFO  [main] ims.IMS IMS.java43 - Which entity would you like to use?
20220513 09:23:04 INFO  [main] domain.Domain Domain.java27 - CUSTOMER: Information about customers
20220513 09:23:04 INFO  [main] domain.Domain Domain.java27 - ITEM: Individual Items
20220513 09:23:04 INFO  [main] domain.Domain Domain.java27 - ORDER: Purchases of items
20220513 09:23:04 INFO  [main] domain.Domain Domain.java27 - STOP: To close the application
20220513 09:23:05 ERROR [main] domain.Domain Domain.java38 - Invalid selection please try again
20220513 09:23:14 INFO  [main] ims.IMS IMS.java74 - What would you like to do with customer:
20220513 09:23:14 INFO  [main] controller.Action Action.java38 - CREATE: To save a new entity into the database
20220513 09:23:14 INFO  [main] controller.Action Action.java38 - READ: To read an entity from the database
20220513 09:23:14 INFO  [main] controller.Action Action.java38 - UPDATE: To change an entity already in the database
20220513 09:23:14 INFO  [main] controller.Action Action.java38 - DELETE: To remove an entity from the database
20220513 09:23:14 INFO  [main] controller.Action Action.java38 - RETURN: To return to domain selection
